"MEDIA","CATEG FR","SOUS CATEG FR","CATEG EN","SS CATEG EN","ID"
"[Illustration] Cloud - Infogérance","Cloud","Infogérance","Cloud","Outsourcing","30162"
"[Illustration] Cloud - Infrastructures","Cloud","Infrastructures","Cloud","Infrastructures","30163"
"[Illustration] Cloud - Protection d'activité","Cloud","Protection d'activité","Cloud","Business continuity","30164"
"[Illustration] Cloud - Réseau","Cloud","Réseau","Cloud","Connectivity","30165"
"[Illustration] Collaboration & Télétravail - Postes de travail virtuels","Collaboration & Télétravail","Postes de travail virtuels","Collaboration and remote working","Virtual workspace","30167"
"[Illustration] Collaboration & Télétravail - Visioconférence","Collaboration & Télétravail","Visioconférence","Collaboration and remote working","Videoconferencing","30168"
"[Illustration] Conseil & transformation - Accompagnement & Stratégie","Conseil & transformation","Accompagnement & Stratégie","Consulting and digital transformation","Consultancy and strategy","30169"
"[Illustration] Conseil & transformation - Intégration & Déploiement","Conseil & transformation","Intégration & Déploiement","Consulting and digital transformation","Integration and deployment","30170"
"[Illustration] Conseil & transformation - Opérations et Gestion","Conseil & transformation","Opérations & Gestion","Consulting and digital transformation","Operations and support","30129"
"[Illustration] Conseil & transformation - Transformation IT & Digital","Conseil & transformation","Transformation IT & Digital","Consulting and digital transformation","IT and digital transformation","30171"
"[Illustration] Data Intelligence & IoT - Accompagnement","Data Intelligence & IoT","Accompagnement","Data Intelligence and IoT","Data Intelligence and IoT","30172"
"[Illustration] Data Intelligence & IoT - Activez la donnée","Data Intelligence & IoT","Activez la donnée","Data Intelligence and IoT","Data transformation","30173"
"[Illustration] Data Intelligence & IoT - Collectez la donnée","Data Intelligence & IoT","Collectez la donnée","Data Intelligence and IoT","Data collection","30174"
"[Illustration] Data Intelligence & IoT - Connectez vos objets","Data Intelligence & IoT","Connectez vos objets","Data Intelligence and IoT","IoT connectivity","30175"
"[Illustration] Internet et réseaux - Internet","Internet & réseaux","Internet","Internet and networks","Internet","30176"
"[Illustration] Internet et réseaux - Réseau augmenté","Internet & réseaux","Réseau augmenté","Internet and networks","Enhanced connectivity","30177"
"[Illustration] Internet et réseaux - Réseau local","Internet & réseaux","Réseau local","Internet and networks","Local network","30178"
"[Illustration] Internet et réseaux - Réseau privé virtuel","Internet & réseaux","Réseau privé virtuel","Internet and networks","Virtual private network","30179"
"[Illustration] Mobilité - Accompagnement","Mobilité","Accompagnement","Mobility","Support","30180"
"[Illustration] Mobilité - Applications Mobile","Mobilité","Applications Mobile","Mobility","Mobile applications","30181"
"[Illustration] Mobilité - Forfait & Connectivité","Mobilité","Forfait et connectivité","Mobility","Bundles and connectivity","30182"
"[Illustration] Mobilité - Gestion de flotte","Mobilité","Gestion de flotte","Mobility","Fleet management","30183"
"[Illustration] Relation client - Accueil téléphonique","Relation client","Accueil téléphonique","Customer experience","Phone service","30184"
"[Illustration] Relation client - Centres de contacts","Relation client","Centres de contacts","Customer experience","Contact center","30185"
"[Illustration] Relation client - Digitale","Relation client","Digitale","Customer experience","Digitalization","29969"
"[Illustration] Relation client - Pilotage de la performance","Relation client","Pilotage de la performance","Customer experience","Performance Monitoring","30186"
"[Illustration] Sécurité - Anticiper","Sécurité","Anticiper","Security","Anticipate","30187"
"[Illustration] Sécurité - Détecter & Réagir","Sécurité","Détecter et Réagir","Security","Detect and respond","30188"
"[Illustration] Sécurité - Identifier","Sécurité","Identifier","Security","Identify","30189"
"[Illustration] Sécurité - Protéger","Sécurité","Protéger","Security","Protect","30190"
"[Illustration] Téléphonie fixe & voix - Collaboration","Téléphonie fixe & voix","Collaboration","Fixed-line and VoIP telephony","Collaboration","30161"
"[Illustration] Téléphonie fixe & voix - Téléphonie","Téléphonie fixe & voix","Téléphonie","Fixed-line and VoIP telephony","Telephony","30191"
"[Illustration] Téléphonie fixe & voix - Voix sur IP","Téléphonie fixe & voix","Voix sur IP","Fixed-line and VoIP telephony","Voice over IP","30192"
